Employee_ID,Age,Gender,Department,Job_Role,Years_at_Company,Monthly_Salary,Working_Hours_Per_Week,Overtime_Hours,Remote_Work,Sleep_Hours,Work_Life_Balance,Stress_Score,Mental_Health_Score,Manager_Support,Job_Satisfaction,Training_Hours,Absent_Days,Performance_Rating,Wellbeing_Program,Productivity_Score,Burnout_Level,Burnout_Risk,Attrition_Risk,Joining_Date
EMP2777,21.0,Female,Information Technology,Devops Engineer,0.7,26843.85,51.0,17.0,No,6.1,8.0,3.0,8.0,8,6.0,28.0,2.0,5.0,N,6.0,Low,Low,Low,20/03/2026
EMP5316,20.0,Male,R&D,R&D Engineer,2.0,26569.63,30.0,0.0,N,7.1,9.0,1.0,10.0,6,6.0,48.0,3.0,5.0,Y,7.0,Low,Low,Low,-
EMP1017,40.0,Female,Customer Support,Support Team Lead,2.5,45452.66,39.0,4.0,N,6.4,10.0,2.0,10.0,6,8.0,1.0,3.0,5.0,No,6.0,Low,Low,Low,2020/08/21
EMP1790,40.0,Male,Rnd,Research Analyst,0.3,23269.63,57.0,13.0,No,8.3,8.0,3.0,10.0,2,4.0,8.0,3.0,5.0,Y,6.0,Low,Low,Medium,2025/05/03
EMP3005,37.0,Female,Operations,Operations Executive,0.4,21340.55,57.0,5.0,No,6.0,8.0,3.0,8.0,5,7.0,3.0,0.0,5.0,No,6.0,Low,Low,Low,"September 25, 2023"
EMP2171,33.0,Male,It,Qa Engineer,11.0,53539.08,43.0,0.0,Yes,7.1,10.0,1.0,10.0,5,6.0,10.0,3.0,5.0,Y,7.0,Low,Low,Low,20-Apr-2021
EMP6592,33.0,Female,Customer Support,Customer Success Manager,2.9,35041.62,38.0,5.0,No,8.8,10.0,3.0,7.0,7,6.0,34.0,8.0,5.0,N,7.0,Low,Low,,23/01/2015
EMP5017,38.0,Female,Hr,Hr Generalist,7.7,42691.33,53.0,10.0,No,8.1,9.0,1.0,9.0,7,7.0,16.0,5.0,5.0,No,7.0,Low,Low,,23/08/2017
EMP6638,30.0,Female,Marketing,Content Strategist,1.3,26047.23,47.0,3.0,No,6.8,10.0,1.0,10.0,6,5.0,4.0,1.0,5.0,Yes,7.0,Low,Low,Low,"July 14, 2025"
EMP5508,20.0,Female,It,It Support,2.0,25543.65,56.0,29.0,No,7.2,6.0,1.0,10.0,5,6.0,4.0,1.0,5.0,No,7.0,Low,Low,Low,2026-04-17
EMP5000,35.0,Other,Hr,Support Team Lead,0.2,39806.71,45.0,20.0,No,6.9,7.0,3.0,7.0,5,6.0,15.0,2.0,5.0,No,7.0,Low,Low,-,-
EMP2655,53.0,Male,Sales,-,0.1,36608.32,45.0,0.0,Yes,7.0,10.0,1.0,9.0,6,7.0,24.0,3.0,4.0,Yes,7.0,Low,Low,Low,07-09-2015
